org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
Ottumwa Public Library Friends Inc,,42-1432956,"['To provide support to the Ottumwa <em>Public</em> Library through financial gifts and volunteer time.', 'people, Self-employed people, Retired people, Academics, Military personnel, Veterans, Farmers, Emergency responders, Artists and performers, Sex workers, Activists, Non-governmental organizations, <em>Public</em> charities']",Ottumwa,IA,0,0,To provide support to the Ottumwa Public Library through financial gifts and volunteer time.,https://facebook.com/https://www.facebook.com/profile.php?id=100069875611029,,,,
Support Public Lands,,86-2130369,"['Inspiring <em>public</em> lands advocacy by providing information and education designed to encourage and facilitate outdoor recreation and activity.', ' Environment, Environmental justice, Natural resources, Water resources, Land resources, Biodiversity, Environmental education, Sports and recreation, Sports, Outdoor sports, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities']",Phoenix,AZ,0,0,Inspiring public lands advocacy by providing information and education designed to encourage and facilitate outdoor recreation and activity.,,,,,
Cleveland Public Theatre,,34-1359225,"[' Arts and culture, Performing arts, Theater, Age groups, Children and youth, Adults, Non-governmental organizations, <em>Public</em> charities', 'other People of Color). CMHA CAN (formerly Brick City Theatre) takes place in partnership with Cuyahoga Metropolitan Housing Authority (CMHA) at community centers for children and families who live in <em>public</em> housing. Under the guidance of CPT Teaching Artists, young artists learn how to create and perform their own plays, dance, poetry, music, and visual art. These multidisciplinary performing arts activities']",Cleveland,OH,8087984,2645026,TO RAISE CONSCIOUSNESS AND NURTURE COMPASSION THROUGH GROUNDBREAKING PERFORMANCES AND LIFE-CHANGING EDUCATIONAL PROGRAMS,https://facebook.com/ClevelandPublicTheatre,https://twitter.com/CPTCLE,,https://instagram.com/cptcle,https://linkedin.com/company/cleveland-public-theatre
Bowdoinham Public Library,,01-6016360,"['Bowdoinham <em>Public</em> Library is dedicated to providing a <em>public</em> library which lends books and media, offers educational programs for children and adults, and supports community involvement in its programs, fundraising and local events for all ages.', ' Information and communications, Libraries, Age groups, Non-governmental organizations, <em>Public</em> charities']",Bowdoinham,ME,638262,98579,"Bowdoinham Public Library is dedicated to providing a public library which lends books and media, offers educational programs for children and adults, and supports community involvement in its programs, fundraising and local events for all ages.",https://facebook.com/Bowdoinham Public Library ,,,,
"Hospice Of Chattanooga, Inc.",Journey Health Foundation,58-1426458,"['<em>health,</em> data, sustainable, community centered, social determinants of <em>health,</em> <em>Health,</em> <em>Public health,</em> Nursing care, Hospice care, Family relationships, Families, Parents, Widows and widowers, Non-adult children, Caregivers, Ethnic and racial groups, Social and economic status, Immigrants and migrants, Economically disadvantaged people, At-risk youth, <em>Health,</em> People with disabilities, People with diseases', 'diseases and illnesses, Substance abusers, Pregnant people, Non-governmental organizations, <em>Public</em> charities']",Chattanooga,TN,104744653,194973355,"Our mission is to convene passionate, collaborative partners to help build bold data-driven systems and solutions that promote healthy communities for all.
Our vision is to become of one of the healthiest cities in America",,,,,
Public Safety Cadets - National Youth Organization,Public Safety Cadets,83-2378199,"['skills and practical experiences through education and training delivered by <em>public</em> safety professionals that build character, physical fitness and respect for the rule of law.', ' youth, teen, teenager, <em>public</em> safety, law enforcement, mentoring, character, career, student, Education, Education services, Out-of-school learning, <em>Public</em> safety, Human services, Youth development, Youth mentoring, Youth organizing']",Leesburg,VA,47063,79385,"Mentoring young adults to serve their communities by providing knowledge, skills and practical experiences through education and training delivered by public safety professionals that build character, physical fitness and respect for the rule of law.",,,,,
"Cheyenne Mountain Public Broadcast House, Inc.",Classical KCME 88.7 FM AND Jazz 93.5 FM,83-0234545,"['Cheyenne Mountain  <em>Public</em> Broadcast House, Inc. via Classical KCME 88.7 FM / KMPZ 88.1FM and Jazz 93.5 FM is a trusted source of quality classical music and arts content for the people of Colorado Springs and Southern Colorado. We are dedicated to support a vital cultural community by sharing the artistic voices of Colorado Springs and the world, through broadcasting, digital platforms, and community', ' <em>public</em> radio, classical music, Arts and culture, Performing arts, Music, Information and communications, Communication media, Radio, Age groups, Children and youth, Adults, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities']",Colorado Springs,CO,1534136,1080179,"Cheyenne Mountain Public Broadcast House, Inc. via Classical KCME 88.7 FM / KMPZ 88.1FM and Jazz 93.5 FM is a trusted source of quality classical music and arts content for the people of Colorado Springs and Southern Colorado. We are dedicated to support a vital cultural community by sharing the artistic voices of Colorado Springs and the world, through broadcasting, digital platforms, and community engagement.",https://facebook.com/pages/KCME-Classical-Music-Radio/335474505079,,,,
Wake Education Partnership,WakeEd Partnership,58-1518182,"['-at-large in collaboration with the Wake County <em>Public</em> School System (WCPSS) to provide every student with excellent educational opportunities, highly effective teachers, and strong leaders.Since our founding in 1983, WakeEd Partnership has served in a unique position in the education space. We are an independent nonprofit committed to improving <em>public</em> education and advocating for excellent educational', ' Education, <em>Public</em> Schools, Excellence in <em>Public</em> Education, Education, Elementary and secondary education, Age groups, Children and youth, Adults, Non-governmental organizations, <em>Public</em> charities']",Raleigh,NC,3265124,1713197,"Our mission is: To engage, inform, and mobilize the business community and community-at-large in collaboration with the Wake County Public School System (WCPSS) to provide every student with excellent educational opportunities, highly effective teachers, and strong leaders.
Since our founding in 1983, WakeEd Partnership has served in a unique position in the education space. We are an independent nonprofit committed to improving public education and advocating for excellent educational opportunities for all students. This independence has been our strength for more than 30 years. Through our business and community partners, we have brought the best minds and ideas to the table to focus on education in Wake County. With an eye on outcomes, our goal is to do the right thing for students.",https://facebook.com/WakeEdPartnership,https://twitter.com/wakeedpa,,https://instagram.com/wakeedpa,https://linkedin.com/company/wake-education-partnership/
Cape Girardeau Public Schools Foundation,CGPS Foundation,43-1666808,"['The Cape Girardeau <em>Public</em> Schools Foundation, through the support of the community, will provide additional resources through donations, grants, and endowments to enhance the educational opportunities of its students.  It is the mission of the Foundation to provide our students with extraordinary opportunities to learn and to help distinguish Cape Girardeau as the best place to live, learn and work', ' education, k-12, <em>public</em> school, foundation, Education, Community and economic development, Human services, Youth development, Age groups, Children and youth, Social and economic status, Economically disadvantaged people, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities']",Cape Girardeau,MO,478517,260916,"The Cape Girardeau Public Schools Foundation, through the support of the community, will provide additional resources through donations, grants, and endowments to enhance the educational opportunities of its students. It is the mission of the Foundation to provide our students with extraordinary opportunities to learn and to help distinguish Cape Girardeau as the best place to live, learn and work in the state.",https://facebook.com/https://www.facebook.com/CGPSFoundation,,,https://instagram.com/https://www.instagram.com/capeschoolsfoundation/,
Los Alamos Public Schools Foundation,LAPS Foundation,02-0773298,"['The mission of Los Alamos <em>Public</em> Schools Foundation is to serve as the connection between our community and school district, evaluating needs and investing resources to improve the quality of <em>public</em> education in our community.The goals of LAPS Foundation are to:  fund opportunities and materials for our schools; create a school environment in which students are inspired to learn and grow; provide quality', 'seniors; raise money to provide financial support not available to Los Alamos <em>Public</em> Schools from other sources; and develop a high performing Board of Directors, Executive Director and organization.']",Los Alamos,NM,626434,361984,"The mission of Los Alamos Public Schools Foundation is to serve as the connection between our community and school district, evaluating needs and investing resources to improve the quality of public education in our community.
The goals of LAPS Foundation are to: fund opportunities and materials for our schools; create a school environment in which students are inspired to learn and grow; provide quality professional development opportunities for district educators; maintain a scholarship program to recognize outstanding graduating seniors; raise money to provide financial support not available to Los Alamos Public Schools from other sources; and develop a high performing Board of Directors, Executive Director and organization.",https://facebook.com/https://www.facebook.com/LAPublicSchoolsFoundation,,,,
North Carolina Foundation for Public School Children,NCFPSC,56-1957977,"[""Foundation for <em>Public</em> School Children's mission is to meet those basic needs as quickly as possible so the child can be in school and focus on learning. Our foundation's mission also includes growing future teachers for North Carolina through the Teacher Cadet Program. Teacher Cadet ensures a future stocked with homegrown teachers who can relate to the students they teach."", ' K-12, <em>public</em> education, North']",Raleigh,NC,541134,604461,"Every day a child struggles in school simply because they lack something as basic as a pair of eyeglasses, shoes that fit, appropriate clothing, supplies, a hearing aid, or else.
The North Carolina Foundation for Public School Children's mission is to meet those basic needs as quickly as possible so the child can be in school and focus on learning.
Our foundation's mission also includes growing future teachers for North Carolina through the Teacher Cadet Program. Teacher Cadet ensures a future stocked with homegrown teachers who can relate to the students they teach.",,,,,
Caring Health Center Inc,,04-2620040,"[' <em>Health,</em> <em>Health</em> care quality, <em>Health</em> care access, In-patient medical care, Community <em>health</em> care, Out-patient medical care, <em>Health</em> care clinics, <em>Public health,</em> Non-governmental organizations', 'Caring <em>Health</em> Center is committed to eliminating <em>health</em> disparities and achieving <em>health</em> equity through providing accessible, value-driven healthcare for diverse, multi-ethnic communities in Western Massachusetts. Health']",Springfield,MA,34278588,43460797,"Caring Health Center is committed to eliminating health disparities and achieving health equity through providing accessible, value-driven healthcare for diverse, multi-ethnic communities in Western Massachusetts.",,,,,
Trio Central Texas Chapter,Amy's House,46-4831661,"[' Education of <em>public</em> for organ donation, <em>Health,</em> Medical support services, Organ and tissue banks, Human services, Age groups, Adults, Family relationships, Caregivers, Non-governmental organizations, <em>Public</em> charities']",Temple,TX,1436831,302422,"TRIO is a non-profit international organization that is committed to improving the quality of lives touched by transplantation by providing support, advocacy, education and awareness.TRIO Central Texas Chapter is moving forward to becoming a widely recognized chapter that will be a voice for transplantation awareness in Central Texas for candidates, recipients, living donors and families.",https://facebook.com/triocentraltx,,,,
Fort Collins Public Media,Fort Collins Public Media,20-2003065,"['cultural life of our community through digital media.We operate in the <em>public</em> interest through fostering communication and collaboration around creative expression. Our state of the art production facility is available for our community to utilize. FC <em>Public</em> Media is a place to learn, collaborate and create.We operate the <em>public</em> access cable channel 97 on Comcast, along with channel 22 on Connexion,', 'productions.\u200bFC <em>Public</em> Media specializes in filmmaking, video production, podcasting, digital video recording and editing, and more.']",Fort Collins,CO,113739,52731,"Our mission is to encourage participation in civic life, foster artistic and cultural expression, and enrich the diversity and cultural life of our community through digital media.
We operate in the public interest through fostering communication and collaboration around creative expression.
Our state of the art production facility is available for our community to utilize. FC Public Media is a place to learn, collaborate and create.
We operate the public access cable channel 97 on Comcast, along with channel 22 on Connexion, Streaming on ROKU, AppleTV, and YouTube.
Our facilities and staff can be rented for a variety of productions.
​
FC Public Media specializes in filmmaking, video production, podcasting, digital video recording and editing, and more.",https://facebook.com/https://www.facebook.com/fcpublicmedia/,https://twitter.com/https://twitter.com/fcpublicmedia,https://youtube.com/https://www.youtube.com/results?search_query=fc+public+media,https://instagram.com/https://www.instagram.com/fcpublicmedia/,
Public Lands Alliance,Public Lands Alliance,54-1123356,"['effective nonprofit organizations and exceptional <em>public</em>-nonprofit partnerships for the benefit of <em>public</em> lands and their users.', ' Alliance, association, advocacy, connection, representation, strengthen, <em>public</em> lands, national, Sports and recreation, Age groups, Children and youth, Adults, Family relationships, Families, Non-governmental organizations, <em>Public</em> charities']",Washington,DC,881263,857712,We work to build and elevate effective nonprofit organizations and exceptional public-nonprofit partnerships for the benefit of public lands and their users.,https://facebook.com/https://www.facebook.com/publiclandsalliance/,https://twitter.com/@publiclands4all,,https://instagram.com/@publiclandsalliance,https://linkedin.com/company/public-lands-alliance
GENERATION SCHOOLS NETWORK INC,Generation Schools Network,76-0783006,"[' <em>public</em> education reform K-12, Education, Educational management, Elementary and secondary education, Age groups, Children and youth, Ethnic and racial groups, Social and economic status, Economically disadvantaged people, Low-income people, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities', 'Network (GSN) is a nationally recognized, award-winning non-profit founded in 2005 with the purpose of supporting systemic innovation in <em>public</em> education. GSN’s unique educational Model was designed to bring equitable learning environments to all students with a mission to co-create healthy educational ecosystems by partnering with educators, students, families and communities to elevate the learning experience']",Denver,CO,1575360,3738949,"Vision: All schools are vibrant, inclusive ecosystems that ensure every student thrives in school, work and life.
Mission: Generation Schools Network co-creates healthy school ecosystems by partnering with educators, students, families and communities to elevate the education experience.",https://facebook.com/Genschools,https://twitter.com/Genschools,https://youtube.com/GenerationSchoolsNetwork,,https://linkedin.com/company/Genschools
CHILDREN FIRST FUND: THE CHICAGO PUBLIC SCHOOLS FOUNDATION,,36-4094830,"['The mission of the Children First Fund is to promote the growth and success of Chicago <em>Public</em> Schools through philanthropy and partnerships. We serve as a knowledge hub and liaison between CPS and its community of partners, including businesses, foundations, and individuals. By matching resources provided by external donors and partners with the students, schools, and staff that need them most, CFF', 'education, Vocational education, Education services, Early childhood education, Age groups, Children and youth, Work status and occupations, Academics, Students, Teachers, Non-governmental organizations, <em>Public</em> charities']",Chicago,IL,33280492,14344858,"The mission of the Children First Fund is to promote the growth and success of Chicago Public Schools through philanthropy and partnerships. We serve as a knowledge hub and liaison between CPS and its community of partners, including businesses, foundations, and individuals. By matching resources provided by external donors and partners with the students, schools, and staff that need them most, CFF maximizes the impact of CPS’ partnerships and advances the CPS Vision.",https://facebook.com/chifirstfund,https://twitter.com/chifirstfund,https://youtube.com/ChiFirstFund,https://instagram.com/chifirstfund,https://linkedin.com/company/company/chifirstfund
DETROIT EDUCATIONAL TELEVISION FOUNDATION WTVS-CHANNEL 56 IN DETR,"Detroit Public Television, DPTV, WRCJ 90.9 FM, WTVS, Channel 56",38-1440200,"['communityMISSION:  Educate, engage, entertain and inspire through the power of <em>public</em> media', ' broadcasting, education, media, programming, <em>public</em> television, Arts and culture, Arts services, Arts education, Education, Early childhood education, Environment, Natural resources, Water resources, Information and communications, News and <em>public</em> information, Communication media, Television, Age groups, Children and']",Wixom,MI,33263620,20131562,"VISION: Media anchor of a diverse and connected community
MISSION: Educate, engage, entertain and inspire through the power of public media",https://facebook.com/DetroitPublicTV,https://twitter.com/DetroitPublicTV,https://youtube.com/detroitpublictv,https://instagram.com/detroitpublictv,https://linkedin.com/company/https://www.linkedin.com/company/detroit-public-television
TexPIRG,TexPIRG,74-2990805,"['advocacy, <em>public</em> interest, collective action issues, community organizing, Education, <em>Public</em> affairs, Democracy, Civic participation, Human rights, Age groups, Adults, Non-governmental organizations', ' TexPIRG is a consumer group that stands up to powerful interests whenever they threaten our <em>health</em> and safety, our financial security, or our right to fully participate in our democratic society.For decades']",Austin,TX,231476,48552,"TexPIRG is a consumer group that stands up to powerful interests whenever they threaten our health and safety, our financial security, or our right to fully participate in our democratic society.For decades, we’ve stood up for consumers, countering the influence of big banks, insurers, chemical manufacturers and other powerful special interests.Our team of researchers uncover the facts; our staff bring our findings to the public, through the media as well as one-on-one interactions; and our advocates are bringing the voice of the public to the halls of power on behalf of consumers.",https://facebook.com/TexPIRG,https://twitter.com/TexPIRG,,,
"The Sycamore Institute, Inc.",JAMES E BRYSON,47-5522558,"['research in pursuit of sound, sustainable <em>public</em> policies that improve the lives of all Tennesseans.', ' <em>public</em> policy, data, research, analysis, impartial, nonpartisan, statewide, Tennessee, Education, <em>Health,</em> <em>Public</em> safety, <em>Public</em> affairs, <em>Public</em> policy, Community and economic development, Human services, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities']",Nashville,TN,801812,732194,"To provide accessible, reliable data and research in pursuit of sound, sustainable public policies that improve the lives of all Tennesseans.",https://facebook.com/sycamoretn,https://twitter.com/SycamoreTN,https://youtube.com/channel/UC_sizHLz3KwbHMcSQSgKcMQ,,https://linkedin.com/company/sycamoretn
Friends of Kwmu Inc,St. Louis Public Radio,20-2460152,"['provide a deeper understanding and appreciation of events, ideas and cultures for a more inspired and engaged <em>public.</em>', ' <em>public</em> radio, non-profit journalism, St. Louis, <em>public</em> media, Information and communications, Communication media, Radio, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities']",St Louis,MO,51616,30497,"To inform and provide a deeper understanding and appreciation of events, ideas and cultures for a more inspired and engaged public.",https://facebook.com/https://www.facebook.com/stlpublicradio/,https://twitter.com/https://www.twitter.com/stlpublicradio,https://youtube.com/https://www.youtube.com/user/kwmu/,https://instagram.com/https://www.instagram.com/stlpublicradio/,https://linkedin.com/company/https://www.linkedin.com/company/st.-louis-public-radio/
Marinas Heart,PUBLIC CHARITY,86-3540847,"[' <em>Health,</em> Medical support services, Non-governmental organizations, <em>Public</em> charities']",Bronx,NY,1,500,TO PROVIDE ART AND RECREATIONAL ACTIVITIES FOR THE COMMUNITY.,,,,,
Cobb County Public Safety Foundation Inc,,83-1679641,"['The Cobb County <em>Public</em> Safety Foundation provides relief, equipment, support, and training to police officers, firefighters, deputy sheriffs, E911 officers, animal control, and emergency medical technicians who serve Cobb County. By serving first responders we secure our community with the greatest safety and emergency resources available to all citizens.', ' <em>Public</em> safety']",Atlanta,GA,336620,263408,"The Cobb County Public Safety Foundation provides relief, equipment, support, and training to police officers, firefighters, deputy sheriffs, E911 officers, animal control, and emergency medical technicians who serve Cobb County. By serving first responders we secure our community with the greatest safety and emergency resources available to all citizens.",,,,,
Racine Firefighters Association,,82-3152354,"[' <em>Public</em> Service, <em>Public</em> affairs, Age groups, Children and youth, Non-governmental organizations, <em>Public</em> charities']",Racine,OH,0,0,"To support the Racine Fire Department in their primary mission of structural, vehicular and wildland fire suppression, rescue, and prevention.",https://facebook.com/racinefire,https://twitter.com/station2fd,,https://instagram.com/station2fd,
CORPUS CHRISTI POLICE FOUNDATION,,47-0990452,"['WE CAN HELP FOSTER A BETTER EQUIPED, BETTER TRAINED POLICE FORCE AND A BETTER INFORMED AND MORE ENGAGED <em>PUBLIC.</em>', ' <em>Public</em> Safety, <em>Public</em> safety, <em>Public</em> affairs, Human services, Age groups, Children and youth, Adults, Family relationships, Ethnic and racial groups, Non-governmental organizations, <em>Public</em> charities']",Corpus Christi,TX,580215,472907,"OUR MISSION IS TO CREATE A SAFER CORPUS CHRISTI BY STRENGTHENING THE BOND BETWEEN THE CCPD AND THE CITIZENS IT SERVES. WITH COMMUNITY SUPPORT, WE CAN HELP FOSTER A BETTER EQUIPED, BETTER TRAINED POLICE FORCE AND A BETTER INFORMED AND MORE ENGAGED PUBLIC.",https://facebook.com/corpuschristipolicefoundation,,,,
LOS GATOS PUBLIC MEDIA INC,KCAT TV15,27-4500692,"['communities by delivering <em>public,</em> educational and government programming through a variety of multimedia platforms.  We inspire, teach and connect our communities through the broadcasting of innovative, compelling, informative and entertaining content.  We enable everyone to amplify their messages, tell their stores and express their views.', ' Community Access Television - <em>Public,</em> Education, Government, ']",Los Gatos,CA,130959,324121,"Celebrating 35 years of service, KCAT TV15 contributes to the vitality of our Los Gatos and Monte Sereno communities by delivering public, educational and government programming through a variety of multimedia platforms. We inspire, teach and connect our communities through the broadcasting of innovative, compelling, informative and entertaining content. We enable everyone to amplify their messages, tell their stores and express their views.",https://facebook.com/KCAT TV 15,https://twitter.com/KCATTV,https://youtube.com/youtube.com/user/kcattvbroadcast,https://instagram.com/kcattv15,https://linkedin.com/company/KCAT TV 15
"Resolve to Save Lives, Inc.",,86-2254152,"[' Cardiovascular <em>health,</em> Prevent epidemics, <em>Health,</em> <em>Public health,</em> Age groups, Adults, <em>Health,</em> People with diseases and illnesses, Non-governmental organizations, <em>Public</em> charities', 'resolvetosavelives.org/cardiovascular-health<em>.</em> Resolve to Save Lives is committed to making the world safer from epidemics.The world is vulnerable to the next <em>health</em> threat because most people live in countries that are not well prepared to find, stop and prevent dangerous infectious diseases such as COVID-19. We partner with countries to step up preparedness by:• Scaling <em>public health</em> technical expertise locally;•']",New York City,NY,141915605,170632922,Our mission is to save as many lives as possible. Our goals are to help prevent 100 million deaths from cardiovascular disease and make the world safer from epidemics.,https://facebook.com/ResolveToSaveLives,https://twitter.com/ResolveTSL,,,https://linkedin.com/company/resolve-to-save-lives
"Essential Partners, Inc.",Public Conversations Project,22-3432160,"['Conflict resolution, <em>Public</em> Conversations (PCP), Peace building, Training, <em>Public</em> safety, Courts, Dispute resolution, <em>Public</em> affairs, Democracy, Civic participation, Community and economic development, Human rights, International relations, International peace and security, Age groups, Adults, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities', ' inequalityMiddle East conflictsClimate changeIntellectual diversityPolitical partisanship (and more)For thirty years, Essential Partners has worked with campuses large and small, with institutions <em>public</em> and private, and with stakeholders ranging from faculty and graduate students to undergraduates and staff. We have helped create more inclusive and resilient campuses that better prepare the next generation']",Cambridge,MA,1384076,1764542,"Essential Partners strengthens relationships across difference, deepens belonging, and renews hope for whole communities. We envision a world of thriving communities, strengthened by differences and connected by trust.",https://facebook.com/essentialpartners,https://twitter.com/essentialprtnrs,https://youtube.com/essentialpartners,https://instagram.com/essentialpartners,https://linkedin.com/company/company/70857/admin/
Centerstone Health Services Inc,,35-1270418,"['<em>Health,</em> Out-patient medical care, <em>Health</em> care clinics, <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities', '  CENTERSTONE <em>HEALTH</em> SERVICES EMBRACES THE <em>HEALTH</em> AND WELL-BEING FOR ALL PEOPLE BY PROVIDING COMPREHENSIVE, ACCESSIBLE, QUALITY <em>HEALTH</em> CARE REGARDLESS OF INCOME TO PROMOTE WELLNESS AND RESTORE <em>HEALTH.</em> THE CENTER PROVIDES FOR THE PHARMACEUTICAL']",Bloomington,IN,6412082,20568090,Delivering the care that changes people's lives.,https://facebook.com/centerstone.org,https://twitter.com/centerstone,https://youtube.com/centerstonevideos,https://instagram.com/centerstonehealth,https://linkedin.com/company/centerstone
Public Library of Cincinnati and Hamilton County Foundation,The Library Foundation,30-0234776,"[' <em>Public</em> Library Support, Arts and culture, Humanities, Literature and writing, Education, Information and communications, Libraries, <em>Public</em> affairs, Age groups, Children and youth, Adults, Non-governmental organizations, <em>Public</em> charities']",Cincinnati,OH,11174785,2344067,"The Library Foundation is dedicated to ensuring a great library system by raising, managing and allocating funds to expand and enhance the programs and services of our library.",https://facebook.com/TheLibraryFoundationofCincyandHamiltonCo/,,,,
West Virginia Public Theatre,"WV Public Theatre, WVPT",55-0681046,"['The West Virginia <em>Public</em> Theatre, in partnership with the College of Creative Arts of West Virginia University, enhances the cultural environment of the state and region by providing quality professional programming and educational outreach experiences for all citizens.', 'relationships, Families, Non-governmental organizations, <em>Public</em> charities']",Morgantown,WV,228750,305448,"The West Virginia Public Theatre, in partnership with the College of Creative Arts of West Virginia University, enhances the cultural environment of the state and region by providing quality professional programming and educational outreach experiences for all citizens.",https://facebook.com/wvpublictheatre.org,https://twitter.com/@WV Public Theatre,,https://instagram.com/wvpublictheatre,
The Chicago Public Library Foundation,CPLF,36-3480353,"['Established in 1986, the Chicago <em>Public</em> Library Foundation (CPLF) is an independent nonprofit that exists to accelerate the potential of our <em>public</em> library by investing in resources that transform lives and communities. For more than 30 years, we have connected individuals and corporations, neighborhood organizations, and City agencies committed to building a stronger and more equitable Chicago. Together', ' Library, Education, Civic, Literacy, Information and communications, Libraries, <em>Public</em> libraries, Arts and culture, Age groups, Children and youth, Infants and toddlers, Adolescents, Adults, Seniors, Family relationships, Families, Non-governmental organizations, <em>Public</em> charities']",Chicago,IL,33747562,8241149,"Established in 1986, the Chicago Public Library Foundation (CPLF) is an independent nonprofit that exists to accelerate the potential of our public library by investing in resources that transform lives and communities. For more than 30 years, we have connected individuals and corporations, neighborhood organizations, and City agencies committed to building a stronger and more equitable Chicago. Together, we make pathways to learning, creativity, and civic engagement accessible to Chicagoans of all ages through investment across three funding priority areas: Close the Academic Opportunity Gap; Activate Creativity & Connection for All; and Bridge the Digital Divide. Find us online at www.cplfoundation.org.",https://facebook.com/ChicagoPublicLibraryFoundation/,https://twitter.com/CPLFoundation,https://youtube.com/channel/UCL-Qrvr-T0x5BofMBqTTtYg,https://instagram.com/cplfoundation/?hl=en,https://linkedin.com/company/chicagopubliclibraryfoundation/
Every Coast Helicopter Operations,ECHO,82-4726594,"[' Education, <em>Public</em> Safety, Aviation, Healthcare, Law Enforcement, Peer Support, Disaster Assistance, Safety, <em>Public</em> safety, <em>Health,</em> Mental <em>health</em> care, Crisis intervention, Philanthropy, Non-governmental organizations, <em>Public</em> charities', 'programs, crew   member and program support, and networking opportunities to <em>public</em> safety aviation members around the world.OUR VISIONECHO will be leaders in improving the global <em>public</em> safety aviation industry  through premier training opportunities, advocating for cutting-edge safety practices, and supporting the <em>health</em> and wellness of program personnel.OUR GUIDING PRINCIPLESCommon sense above all']",Centreville,VA,34300,252115,"OUR MISSION
ECHO provides free education, high-quality training programs, crew member and program support, and networking opportunities to public safety aviation members around the world.
OUR VISION
ECHO will be leaders in improving the global public safety aviation industry through premier training opportunities, advocating for cutting-edge safety practices, and supporting the health and wellness of program personnel.
OUR GUIDING PRINCIPLES
Common sense above all else
Take care of the individual crew member
Advocate for the crew as a whole
Partner with programs / agencies
Better the industry globally",https://facebook.com/echoheliops,https://twitter.com/echoheliops,,https://instagram.com/echoheliops,
SAM Inc,Smart Approaches to Marijuana,47-2400657,"['Research, <em>public</em> policy, drug prevention, drug education, marijuana, <em>Public</em> safety, <em>Health,</em> Substance abusers, Non-governmental organizations, <em>Public</em> charities', 'citizens on the science of marijuana and to promote <em>health</em>-first, smart policies and attitudes that decrease marijuana use and its consequences.']",Alexandria,VA,6780768,3211720,"Smart Approaches to Marijuana envisions a society where marijuana policies are aligned with the scientific understanding of marijuana’s harms, and the commercialization and normalization of marijuana are no more. Our mission is to educate citizens on the science of marijuana and to promote health-first, smart policies and attitudes that decrease marijuana use and its consequences.",https://facebook.com/learnaboutsam,https://twitter.com/learnaboutsam,https://youtube.com/learnaboutsam,,
CHATHAM TURKEY TROT,The Chatham Turkey Trot,45-2241201,"[' Diabetes, <em>Public</em> Safety, Research, Education, Philanthropy, <em>Health,</em> Diseases and conditions, <em>Public</em> safety, Fire prevention and control, Age groups, Children and youth, Adults, Non-governmental organizations, <em>Public</em> charities']",Chatham,NJ,0,0,"The Chatham Turkey Trot is committed to raising funds to support our first responders and diabetes research and education including: the Chatham Township Volunteer Fire Department (www.ctfd.org/); the Diabetes Research Institute (www.diabetesresearch.org/); the Chatham Emergency Squad (www.chathamemergencysquad.org), and The Barton Center for Diabetes Education (www.bartoncenter.org) -- organizations dedicated to protecting and improving the lives of others.",https://facebook.com/https://www.facebook.com/thechathamturkeytrot,,https://youtube.com/https://www.youtube.com/channel/UCwAwQjBFROZsks3TZ0XXzLQ/about,https://instagram.com/https://www.instagram.com/the_chatham_turkey_trot/,
DELRAY BEACH PUBLIC LIBRARY ASSN INC,Delray Beach Public Library,59-0217683,"['diverse communities by creating and sustaining superior <em>public</em> library services through responsive staff, dynamic collections, appropriate technology and access to global information', ' library, children, education, learning, computers, reference, research, teens, robotics, summer reading, books, community, Information and communications, Libraries, <em>Public</em> libraries, Age groups, Children and youth, Social and']",Delray Beach,FL,12280440,5174412,"The Library's Mission is to enrich the lives of the individuals of Delray Beach's diverse communities by creating and sustaining superior public library services through responsive staff, dynamic collections, appropriate technology and access to global information",https://facebook.com/delraybeachpubliclibrary,https://twitter.com/@Delray_Library,https://youtube.com/delraybeachpubliclib,https://instagram.com/@delraybeachpubliclibrary,
LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,WLVT-TV CHANNEL 39,23-1642883,"['communications, News and <em>public</em> information, Media access and policy, Information and media literacy, Communication media, Television, Age groups, Children and youth, Adults, Ethnic and racial groups, Social and economic status, Economically disadvantaged people, At-risk youth, Non-governmental organizations, <em>Public</em> charities', ' Engage everyone in our community through our <em>public</em> media resources to make']",Bethlehem,PA,125109025,20917037,Engage everyone in our community through our public media resources to make the Lehigh Valley better tomorrow than it is today.,https://facebook.com/pbs39,https://twitter.com/https://twitter.com/lvnewsdotcom,https://youtube.com/PBS39,https://instagram.com/lehighvalleynewsdotcom,https://linkedin.com/company/https://www.linkedin.com/company/pbs39channel/mycompany/
